Nome do Município;Valor ICMS;Valor IPI;Valor IPVA;Valor Total
SAO GERALDO;1456423.48;17711.38;642469.32;2116604.18
SAO GERALDO DA PIEDADE;642891.19;7833.38;167228.19;817952.76
SAO GERALDO DO BAIXIO;514943.63;6278.95;109441.97;630664.55
SAO GONCALO DO ABAETE;2488663.76;30288.77;425703.02;2944655.55
SAO GONCALO DO PARA;1962663.35;23925.48;1156469.22;3143058.05
SAO GONCALO DO RIO ABAIXO;37066504.22;451261.84;870648.36;38388414.42
SAO GONCALO DO RIO PRETO;867316.5;10571.24;126179.98;1004067.72
SAO GONCALO DO SAPUCAI;3819518.81;46463.42;2343446.59;6209428.82
SAO GOTARDO;5368577.06;65430.08;6660620.75;12094627.89
SAO JOAO BATISTA DO GLORIA;4284824.74;51824.08;731320.69;5067969.51
SAO JOAO DA LAGOA;810225.6;9899.99;130632.91;950758.5
SAO JOAO DA MATA;684508.79;8381.87;292449.84;985340.5
SAO JOAO DA PONTE;1993958.13;24396.36;571768.93;2590123.42
SAO JOAO DAS MISSOES;1391192.22;16941.98;175475.37;1583609.57
SAO JOAO DEL REI;9164188.66;111517.09;10326820.41;19602526.16
SAO JOAO DO MANHUACU;1268504.03;15440.23;829306.91;2113251.17
SAO JOAO DO MANTENINHA;735190.59;8958.22;310061.6;1054210.41
SAO JOAO DO ORIENTE;975843.95;11882.83;464622.11;1452348.89
SAO JOAO DO PACUI;645101.71;7867.27;63602.14;716571.12
SAO JOAO DO PARAISO;1685304.98;20587.4;965766.68;2671659.06
SAO JOAO EVANGELISTA;1421560.37;17259.17;994132.29;2432951.83
SAO JOAO NEPOMUCENO;2266142.73;27492.5;2122313.82;4415949.05
SAO JOAQUIM DE BICAS;4512793.53;54766.67;2370148.91;6937709.11
SAO JOSE DA BARRA;4039782.11;48874.2;754625.74;4843282.05
SAO JOSE DA LAPA;3783535.77;46129.98;3600565.98;7430231.73
SAO JOSE DA SAFIRA;615068.03;7500.55;100062.09;722630.67
SAO JOSE DA VARGINHA;1482217.8;17985.81;223097.96;1723301.57
SAO JOSE DO ALEGRE;687620.72;8359.66;309032.9;1005013.28
SAO JOSE DO DIVINO;604974.33;7357.36;177737.47;790069.16
SAO JOSE DO GOIABAL;676630.75;8199.08;291336.25;976166.08
SAO JOSE DO JACURI;789316.02;9600.38;244177.21;1043093.61
SAO JOSE DO MANTIMENTO;564540.05;6926.58;176037.06;747503.69
SAO LOURENCO;4107701.23;49949.6;5979113.74;10136764.57
SAO MIGUEL DO ANTA;1048335.37;12765.88;322593.69;1383694.94
SAO PEDRO DA UNIAO;1330554.53;16259.53;580157.51;1926971.57
SAO PEDRO DO SUACUI;718928.08;8709.68;207987.04;935624.8
SAO PEDRO DOS FERROS;1060606.83;12842.57;376323.46;1449772.86
SAO ROMAO;1682371.9;20472.86;324060.88;2026905.64
SAO ROQUE DE MINAS;2601985.64;31758.38;1109633.6;3743377.62
SAO SEBASTIAO DA BELA VISTA;3394650.73;41405.13;445657.09;3881712.95
SAO SEBASTIAO DA VARGEM ALEGRE;835053.38;10166.01;259114.94;1104334.33
SAO SEBASTIAO DO ANTA;891809.47;10886.59;317273.45;1219969.51
SAO SEBASTIAO DO MARANHAO;694725.85;8396.67;224017.03;927139.55
SAO SEBASTIAO DO OESTE;2860231.3;34532.96;459291.8;3354056.06
SAO SEBASTIAO DO PARAISO;8915827.3;108411.97;9375455.82;18399695.09
SAO SEBASTIAO DO RIO PRETO;464711.69;5641.01;53536.86;523889.56
SAO SEBASTIAO DO RIO VERDE;687759.46;8464.55;180162.05;876386.06
SAO TIAGO;1484114.06;18052.44;850485.96;2352652.46
SAO TOMAS DE AQUINO;1974584.26;24157.6;619427.66;2618169.52
SAO TOME DAS LETRAS;1046000.59;12711.96;294162.49;1352875.04
SAO VICENTE DE MINAS;1510209.79;18333.08;537860.73;2066403.6
SAPUCAI-MIRIM;1066357.57;12987.23;498088.13;1577432.93
SARDOA;781364.86;9488.12;352457.74;1143310.72
SARZEDO;8280290.54;100864.99;3919599.59;12300755.12
SEM-PEIXE;627925.89;7705.11;109428.51;745059.51
SENADOR AMARAL;1254547.87;15228.38;724948.38;1994724.63
SENADOR CORTES;674130.67;8253.91;137002.84;819387.42
SENADOR FIRMINO;1020480.76;12386.31;725207.01;1758074.08
SENADOR JOSE BENTO;560796.85;6862.22;89682.27;657341.34
SENADOR MODESTINO GONCALVES;741193.05;9028.11;150721.68;900942.84
SENHORA DE OLIVEIRA;899486.63;10990.14;401804.09;1312280.86
SENHORA DO PORTO;608414.47;7420.06;126874.21;742708.74
SENHORA DOS REMEDIOS;810933.6;9847.54;576518.38;1397299.52
SERICITA;856803.89;10422.95;549602.1;1416828.94
SERITINGA;668937.38;8141.71;144997.1;822076.19
SERRA AZUL DE MINAS;650517.82;7956.24;128480.24;786954.3
SERRA DA SAUDADE;789339.35;9646.1;80603.51;879588.96
SERRA DO SALITRE;5594940.05;68428.12;1099580.47;6762948.64
SERRA DOS AIMORES;907152.93;11044.92;225233.53;1143431.38
SERRANIA;1278782.13;15575.01;490635.26;1784992.4
SERRANOPOLIS DE MINAS;1046770.05;12796.66;123706.66;1183273.37
SERRANOS;637048.64;7781.26;128757.38;773587.28
SERRO;1793515.55;21865.47;1070034.89;2885415.91
SETE LAGOAS;52743598.13;641840.35;26916808.86;80302247.34
SETUBINHA;963900.37;11768.48;148021.82;1123690.67
SILVEIRANIA;593906.81;7289.63;139345.83;740542.27
SILVIANOPOLIS;1129609.6;13816.37;531004.35;1674430.32
SIMAO PEREIRA;805961.59;9785.28;544421.83;1360168.7
SIMONESIA;1902836.15;23264.34;1375256.28;3301356.77
SOBRALIA;803934.24;9858.51;274347.8;1088140.55
SOLEDADE DE MINAS;818744.34;9962.26;337384.53;1166091.13
TABULEIRO;750245.66;9122.23;257489.86;1016857.75
TAIOBEIRAS;2371186.91;28777.92;3059185.15;5459149.98
TAPARUBA;634317.98;7706.32;166971.68;808995.98
TAPIRA;5039215.64;60910.03;516256.37;5616382.04
TAPIRAI;723164.99;8882.46;99751.4;831798.85
TAQUARACU DE MINAS;769732.53;9395.98;204006.95;983135.46
TARUMIRIM;1167153.76;14186.87;906286.29;2087626.92
TEIXEIRAS;1195769.49;14514.81;929043.56;2139327.86
TEOFILO OTONI;9412488.62;114442.71;11310914.14;20837845.47
TIMOTEO;19206713.14;233890.88;8083770.41;27524374.43
TIRADENTES;1386401.99;16878.94;978913.71;2382194.64
TIROS;2592575.18;31372.05;1210661.96;3834609.19
TOCANTINS;1795526.7;21876.52;1537558.94;3354962.16
TOCOS DO MOJI;758476.05;9236.84;440615.12;1208328.01
TOLEDO;878761.04;10717.88;583600.71;1473079.63
TOMBOS;1094999.24;13325.59;668288.3;1776613.13
TRES CORACOES;12458171.43;151689.62;6841910.4;19451771.45
TRES MARIAS;13223931.95;161432.65;2645366.44;16030731.04
TRES PONTAS;8058565.2;98393.9;6026059.11;14183018.21
TUMIRITINGA;784152.55;9510.35;142043.19;935706.09
TUPACIGUARA;6359470.43;77506.88;3335556.65;9772533.96
TURMALINA;2447732.14;29895.07;1490391.26;3968018.47
TURVOLANDIA;1162183.21;14163.04;474525.85;1650872.1
UBA;12239303.2;149151.83;12095010.69;24483465.72
UBAI;972569.99;11844.37;264562.18;1248976.54
UBAPORANGA;1157175.85;14093.55;763386.65;1934656.05
UBERABA;86455467.38;1056127.93;48711240.84;136222836.2
UBERLANDIA;182452995.9;2224820.15;111986133.8;296663949.9
UMBURATIBA;649935.93;7962.64;70397.31;728295.88
UNAI;22321808.12;272023.87;10258939.89;32852771.88
UNIAO DE MINAS;1693766.17;20577.85;334061.69;2048405.71
URUANA DE MINAS;962049.12;11621.18;79206.39;1052876.69
URUCANIA;2205628.93;26758.69;701300.17;2933687.79
URUCUIA;1412356.82;17212.31;185636.82;1615205.95
